CCN(C)C(=O)N1CCC[C@@H]1Cn1cnc2ccccc21,ZINC000335768015,CFADRN
COCCn1ccc(C(=O)N2CCC[C@H]2c2cccc(N(C)C)c2)n1,ZINC000189828676,EFADRN
O=C(N[C@@]12COC[C@@H]1C2)c1ccc2ncccc2c1,ZINC000894187602,CDADRN
CCOc1ccc(NC(=O)C(=O)N2CCC[C@@H](OC)C2)cc1Cl,ZINC000263996257,EEADRN
CC(C)N(Cc1ccccc1)C(=O)CCc1ccncn1,ZINC000191224030,CFADRN
C[C@@H](c1nc2ccccc2s1)N(C)C(=O)[C@H]1CC(=O)N1,ZINC000665458326,CDADRN
C[C@@H]1[C@@H](NC(=O)[C@@H]2CCC(=O)N2C)CCN1C(=O)c1ccsc1Cl,ZINC000989334037,FDADRN
C[C@H]1C[C@H]2CN(C(=O)[C@H](N)Cc3ccccc3F)CC[C@H]2O1,ZINC001158855813,DDADMN
O=C(NCc1ccc2[nH]cnc2c1)[C@@H]1CCCCO1,ZINC000615792087,CDADRN
Cc1cc(C(F)(F)F)ccc1CNC(=O)C(=O)N(C)CC1=CCSC1,ZINC000669210572,FFADRN
C[C@@H]1CN(C(=O)c2cncc(C(F)(F)F)c2)[C@H](C)CO1,ZINC000289055919,CEADRN
C=C(Cl)CSc1nc(C)c(CC(=O)N2CCN(OC)CC2)s1,ZINC000854864685,FFEDRN
CCN1CCN(C(=O)[C@@H]2C[C@H]2c2c(F)cccc2Cl)CC1=O,ZINC000273387911,DEADRN
CC(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@H](C)c1c(C)cccc1C,ZINC000356763579,DDADRN
C#C[C@@H]1COCCN1C(=O)N[C@@H]1[C@@H]2Cc3cc(F)ccc3[C@@H]21,ZINC000823763453,DDEDRN
CO[C@]1(C)CCCN(C(=O)N[C@@H](C)c2ccccc2)C1,ZINC000279899880,CFADRN
CCOc1cccc(N2CCN(Cc3cnc4c(c3)OCCO4)CC2)c1,ZINC001139735911,FFADRN
CC(C)CC(=O)N1CC[C@@H](NC(=O)c2cccc3c2OCCCO3)C1,ZINC000942277835,EEADRN
Cc1cc(CN2C(=O)N[C@@H]([C@@H]3CCCOC3)C2=O)ccc1F,ZINC000349154284,DDADRN
COC1CC(C(=O)N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)C1,ZINC000623417618,FDADRN
C[C@@H](SCc1ccccc1)C(=O)NCC[C@@H](O)C(F)(F)F,ZINC000337052098,DFADRN
Cc1cc(CN(C)CCN(C)C(=O)[C@@]2(C)CCc3ccccc32)on1,ZINC001379146769,EFADRN
CO[C@@H](CNC(=O)Cc1c(C)n[nH]c1C)c1ccccc1Cl,ZINC000675675596,DFADRN
COc1cc(C(=O)N2CCCN(C)CC2)ccc1OCc1cnn(C)c1,ZINC000158494963,FDADMN
Cc1cnc(COC(=O)c2cccc(C)c2C)nc1,ZINC000808487859,CFADRN
CC[C@H]1CCC[C@H]1C(=O)NCc1ccc(N(C)S(C)(=O)=O)cc1,ZINC000648310007,EFADRN
